sigmac
10420
52200
17.18
278.6
1082
7.82
0.762
94000
0.382
2.372
209000
18.84
27060
186600
1068000
24.94
32200
806000
2.112
0.314
199.2
0.46
870
2916
11.64
1.296
7.58
2.248
742
3940
0.784
229.4
9.9
1592
151200
1.874
29420
848
0.588
138000
10.98
142400
266.4
78400
2.44
2316
24080
2.976
1.656
3040
44600
2646
12.42
127.8
8.36
25400
131.8
27800
226.4
2310
1.51
2512
326000
9.68
116600
866
18380
108.8
261
26520
83400
1562
3820
1.048
254800
1.298
23.68
212600
10.14
12.44
2.984
105.2
1106
193.8
38200
61
15.84
0.062
936000
464
20160
3.8
26260
612000
486000
638
138
16.84
2730
22.7
52400
1410
12020
9740
23320
14.82
16.4
1.766
0.374
1236000
23920
229200
2.594
818000
2848
2460
4500
24240
17.5
106.2
139.2
263.2
196.4
245200
1.698
133.8
128
814000
1.29
3.4
141800
7940
436
19.46
2.45
114.2
288.4
174.4
1.688
19580
1.716
2.728
165400
2.838
27.66
62400
16.9
2386
0.638
1650
46.6
280.4
8.16
56.2
574000
2090
27.28
398
145.8
22120
238000
211.2
4.96
1122
0.38
902000
22.3
77600
2754
7.12
74600
212.4
1156000
266000
24700
12.76
244.4
16.62
292800
13.08
21.26
12.2
2.692
2204
54800
108.2
0.908
628000
175600
528
13840
1002
285400
258400
165.8
1590
0.682
9340
284600
19.72
17.98
2948
2.68
2.752
14.32
1944
27.72
856000
24.58
177
222.8
27.5
65.6
26.4
1.674
0.158
1.162
1144
19.24
45.8
22900
1604
10720
73.6
2256
556000
1978
7.84
2.818
5.4
2.242
0.012
988
2340
264.2
1.292
28.12
288.6
790
6.12
26040
13.86
21.74
201200
822
0.806
115600
1.188
17940
2124
109.8
14.52
71.2
232400
2046
19980
124.8
1.042
0.034
1.64
125.4
168200
224.2
22240
28160
7340
245600
18240
46600
43.8
124600
210
1566
15360
192.4
23.38
0.8
372
8820
7.28
696000
219.4
0.422
279000
151000
1.642
28220
0.506
180000
18.72
93.8
1964
0.246
1240
1368
1748
2158
23.42
1.484
0.896
11.2
0.814
2.64
1484
15260
25.1
136200
278000
2898
19.76
0.73
160.4
137.6
2.832
4200
51.6
0.68
5.5
141.4
1.75
93
1310
0.534
74400
16820
12220
890000
24.82
164600
211.6
16340
1996
28.64
134.2
2.648
3.86
5380
79600
135800
1758
296200
41000
1.758
270.6
1828
279200
190200
113200
8940
133600
2.662
24040
312
186.6
1152000
100
1.164
2394
50.6
20320
1.396
1.95
620
27340
1398000
2770
1.866
2.068
4.42
83.8
1.994
29160
666000
19780
290.6
1030000
34
173200
103.2
139.8
128000
137200
6.46
22660
1420
23120
2792
1.166
10.42
1078000
2680
106000
22.48
184000
110.2
2146
920
492
8340
378
350000
4760
28400
58.4
70.2
1646
124400
8.06
2938
237
10.4
2446
241200
2.424
69.8
2162
6820
488
22680
2220
1266
62600
2.446
25.36
1108
2560
68
217
900000
220800
109
129800
16880
2.328
1.152
37200
17380
2594
2568
254.8
1518
0.664
2348
17.06
6.54
136.6
62
213.4
2.37
2650
2.268
207
1232000
2.514
430000
19.38
181
2908
11240
0.088
1004000
12
2.272
4960
1018
0.048
255000
2.718
21400
165000
560000
282600
37.4
131000
88600
1170000
294600
8.4
1.822
11.24
251
7460
39200
17.62
249
203.6
