epoch,eta_loss,eta_mae,loss,sigma_loss,sigma_mae,val_eta_loss,val_eta_mae,val_loss,val_sigma_loss,val_sigma_mae
0,0.07856418937444687,0.2419000267982483,0.15045073628425598,0.0718865618109703,0.22981320321559906,0.07976730167865753,0.24356240034103394,0.15061832964420319,0.07085105031728745,0.229617640376091
1,0.07196754962205887,0.2303544133901596,0.14163678884506226,0.0696691945195198,0.22603124380111694,0.0695650652050972,0.2250368744134903,0.1348145455121994,0.0652494877576828,0.21650205552577972
2,0.06732942909002304,0.2221388965845108,0.13552899658679962,0.06819949299097061,0.22360233962535858,0.06405185908079147,0.21469606459140778,0.12713366746902466,0.0630817860364914,0.21221177279949188
3,0.06356489658355713,0.21505549550056458,0.1301354318857193,0.06657055765390396,0.2206660956144333,0.06010466068983078,0.2070934921503067,0.12179053574800491,0.06168587878346443,0.20948706567287445
4,0.06054559722542763,0.20897462964057922,0.12611213326454163,0.06556656211614609,0.2188059538602829,0.05727045610547066,0.2013978660106659,0.11822259426116943,0.060952119529247284,0.20833687484264374
5,0.0579150952398777,0.2037462592124939,0.12213989347219467,0.06422474980354309,0.21628831326961517,0.05524579435586929,0.19727012515068054,0.11535222083330154,0.06010643392801285,0.20690882205963135
6,0.05534857138991356,0.1982937902212143,0.11886946856975555,0.06352084130048752,0.21481171250343323,0.05251186713576317,0.19161038100719452,0.11154992133378983,0.05903806909918785,0.20475874841213226
7,0.053289711475372314,0.19382718205451965,0.11604951322078705,0.06275986135005951,0.21348842978477478,0.04946951940655708,0.1847635954618454,0.10778678208589554,0.05831725150346756,0.2035304456949234
8,0.051313042640686035,0.18985038995742798,0.11335773766040802,0.0620446652173996,0.21217867732048035,0.04833969101309776,0.18240302801132202,0.10602421313524246,0.0576845221221447,0.20237113535404205
9,0.04944256693124771,0.1855640411376953,0.11059693992137909,0.06115441396832466,0.21054163575172424,0.04596488177776337,0.1770700067281723,0.10282832384109497,0.056863442063331604,0.2007727473974228
10,0.04792170226573944,0.1824669986963272,0.10829861462116241,0.06037691608071327,0.20918874442577362,0.04537704214453697,0.1761380434036255,0.10138604789972305,0.05600900575518608,0.19901442527770996
11,0.04640405252575874,0.17891830205917358,0.10629940032958984,0.0598953515291214,0.20824448764324188,0.04393747076392174,0.17263157665729523,0.09924735128879547,0.055309899151325226,0.1978253424167633
12,0.044843997806310654,0.1755426526069641,0.10386624187231064,0.05902227386832237,0.20654669404029846,0.04179612174630165,0.1676293909549713,0.0963023230433464,0.05450618639588356,0.19607244431972504
13,0.04331022873520851,0.17196017503738403,0.10184116661548615,0.058530934154987335,0.20559793710708618,0.0399060919880867,0.16306409239768982,0.09380743652582169,0.05390135571360588,0.19507215917110443
14,0.04218924418091774,0.16927014291286469,0.10008171200752258,0.05789243429899216,0.20453046262264252,0.03968796879053116,0.16274838149547577,0.09305928647518158,0.05337133631110191,0.19412697851657867
